epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.2726,0.62259,0.96767,1,0.07331,0.000413978,0.000413978,0.000413978
2,80.7306,0.14018,0.99769,1,0.01301,0.000803234,0.000803234,0.000803234
3,120.702,0.11651,0.99076,1,0.0368,0.00116499,0.00116499,0.00116499
4,160.687,0.1146,0.98614,1,0.0727,0.00112625,0.00112625,0.00112625
5,201.386,0.09983,0.99307,1,0.02089,0.001085,0.001085,0.001085
6,244.971,0.08246,0.99769,1,0.01634,0.00104375,0.00104375,0.00104375
7,287.123,0.05938,0.99307,1,0.02361,0.0010025,0.0010025,0.0010025
