epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.5203,0.62259,0.96767,1,0.07331,0.000413978,0.000413978,0.000413978
2,76.8166,0.14018,0.99769,1,0.01301,0.000803234,0.000803234,0.000803234
3,111.951,0.11651,0.99076,1,0.0368,0.00116499,0.00116499,0.00116499
4,150.75,0.1146,0.98614,1,0.07271,0.00112625,0.00112625,0.00112625
5,189.567,0.09977,0.99307,1,0.02089,0.001085,0.001085,0.001085
6,230.51,0.0824,0.99769,1,0.01637,0.00104375,0.00104375,0.00104375
7,270.569,0.05935,0.99307,1,0.02358,0.0010025,0.0010025,0.0010025
